===================
solver, cost, time, n_exp, n_gen, map_file, scen_file, agents_limit, conflict_bound, success 
MetaAgCBSWithCBS, -, 302.35, 7, 13, more/maps/1/brc201d.map, more/scenarios/1/brc201d.map.scen, 20, 1, timeout
MetaAgCBSWithCBS, -, 303.96, 7, 15, more/maps/1/brc201d.map, more/scenarios/1/brc201d.map.scen, 20, 5, timeout
MetaAgCBSWithCBS, -, 301.25, 7, 15, more/maps/1/brc201d.map, more/scenarios/1/brc201d.map.scen, 20, 10, timeout
MetaAgCBSWithCBS, -, 304.42, 7, 15, more/maps/1/brc201d.map, more/scenarios/1/brc201d.map.scen, 20, 100, timeout
CBSSolver, -, 305.73, 87, 140, more/maps/1/brc201d.map, more/scenarios/1/brc201d.map.scen, 25, -, timeout
MetaAgCBSWithCBS, -, -, -, -, more/maps/1/brc201d.map, more/scenarios/1/brc201d.map.scen, 25, 1, Fail:object of type 'int' has no len()
MetaAgCBSWithCBS, -, -, -, -, more/maps/1/brc201d.map, more/scenarios/1/brc201d.map.scen, 25, 5, Fail:object of type 'int' has no len()
MetaAgCBSWithCBS, -, -, -, -, more/maps/1/brc201d.map, more/scenarios/1/brc201d.map.scen, 25, 10, Fail:object of type 'int' has no len()
MetaAgCBSWithCBS, -, 321.93, 271, 527, more/maps/1/brc201d.map, more/scenarios/1/brc201d.map.scen, 25, 100, timeout
CBSSolver, 3784, 0.185, 4, 7, more/maps/1/brc202d.map, more/scenarios/1/brc202d.map.scen, 5, -, success
MetaAgCBSWithCBS, 2069, 0.782, 4, 6, more/maps/1/brc202d.map, more/scenarios/1/brc202d.map.scen, 5, 1, success
MetaAgCBSWithCBS, 3784, 0.256, 8, 15, more/maps/1/brc202d.map, more/scenarios/1/brc202d.map.scen, 5, 5, success
MetaAgCBSWithCBS, 3784, 0.252, 8, 15, more/maps/1/brc202d.map, more/scenarios/1/brc202d.map.scen, 5, 10, success
MetaAgCBSWithCBS, 3784, 0.246, 8, 15, more/maps/1/brc202d.map, more/scenarios/1/brc202d.map.scen, 5, 100, success
CBSSolver, -, 300.03, 5234, 10469, more/maps/1/brc202d.map, more/scenarios/1/brc202d.map.scen, 10, -, timeout
MetaAgCBSWithCBS, -, -, -, -, more/maps/1/brc202d.map, more/scenarios/1/brc202d.map.scen, 10, 1, Fail:too many values to unpack (expected 4)
MetaAgCBSWithCBS, -, -, -, -, more/maps/1/brc202d.map, more/scenarios/1/brc202d.map.scen, 10, 5, Fail:too many values to unpack (expected 4)
MetaAgCBSWithCBS, -, 306.6, 20, 21, more/maps/1/brc202d.map, more/scenarios/1/brc202d.map.scen, 10, 10, timeout
MetaAgCBSWithCBS, -, 307.43, 110, 201, more/maps/1/brc202d.map, more/scenarios/1/brc202d.map.scen, 10, 100, timeout
CBSSolver, -, 335.34, 29, 52, more/maps/1/brc202d.map, more/scenarios/1/brc202d.map.scen, 15, -, timeout
MetaAgCBSWithCBS, -, -, -, -, more/maps/1/brc202d.map, more/scenarios/1/brc202d.map.scen, 15, 1, Fail:too many values to unpack (expected 4)
MetaAgCBSWithCBS, -, -, -, -, more/maps/1/brc202d.map, more/scenarios/1/brc202d.map.scen, 15, 5, Fail:object of type 'int' has no len()
MetaAgCBSWithCBS, -, -, -, -, more/maps/1/brc202d.map, more/scenarios/1/brc202d.map.scen, 15, 10, Fail:object of type 'int' has no len()
